epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1093.21,0.93122,1.09121,1.30255,0.41779,0.54215,0.46063,0.30934,1.31562,1.71022,1.76312,0.000885523,0.000885523,0.000885523
43,1118.15,0.90799,1.04791,1.29569,0.49923,0.46136,0.4633,0.31814,1.3809,1.79005,1.75301,0.000880023,0.000880023,0.000880023
44,1143.17,0.92442,1.05212,1.3034,0.53815,0.5595,0.53165,0.36978,1.32928,1.61258,1.72001,0.000874524,0.000874524,0.000874524
45,1168.44,0.91307,1.04259,1.30048,0.58295,0.49742,0.51842,0.37716,1.29715,1.60721,1.73142,0.000869024,0.000869024,0.000869024
46,1193.89,0.87052,1.00202,1.26078,0.63103,0.50099,0.49876,0.34932,1.28421,1.84519,1.69317,0.000863525,0.000863525,0.000863525
47,1218.76,0.8763,0.99368,1.27713,0.50735,0.50766,0.47444,0.33276,1.33702,1.73088,1.79705,0.000858025,0.000858025,0.000858025
48,1243.66,0.87997,1.01148,1.2859,0.54536,0.49972,0.50313,0.36669,1.28295,1.82918,1.6709,0.000852526,0.000852526,0.000852526
49,1268.45,0.85306,0.96964,1.24463,0.50648,0.46799,0.49706,0.35154,1.29928,1.76963,1.73174,0.000847026,0.000847026,0.000847026
50,1293.33,0.86446,0.97029,1.25787,0.46216,0.53049,0.48265,0.3415,1.2624,1.69807,1.67968,0.000841527,0.000841527,0.000841527
51,1318.31,0.86197,0.95692,1.26864,0.60699,0.44595,0.50333,0.36058,1.34994,1.75856,1.75367,0.000836027,0.000836027,0.000836027
52,1343.32,0.85515,0.9423,1.23768,0.55798,0.49964,0.50856,0.35195,1.33083,1.71807,1.7386,0.000830528,0.000830528,0.000830528
53,1368.19,0.85654,0.95621,1.24954,0.61263,0.48052,0.4972,0.35579,1.30644,1.7748,1.72633,0.000825029,0.000825029,0.000825029
54,1393.15,0.82425,0.91337,1.21104,0.57496,0.46897,0.47524,0.34247,1.3023,1.79959,1.71188,0.000819529,0.000819529,0.000819529
55,1418.12,0.83896,0.93787,1.23497,0.50473,0.48655,0.50049,0.34607,1.26535,1.79607,1.72974,0.00081403,0.00081403,0.00081403
56,1442.95,0.82624,0.90832,1.23108,0.62714,0.48444,0.52395,0.37404,1.30578,1.68546,1.7661,0.00080853,0.00080853,0.00080853
57,1467.79,0.80678,0.88389,1.2031,0.60637,0.43129,0.4818,0.34651,1.36425,1.82985,1.7705,0.000803031,0.000803031,0.000803031
58,1492.6,0.8142,0.88288,1.22175,0.60678,0.46681,0.51066,0.38213,1.28505,1.62663,1.72811,0.000797531,0.000797531,0.000797531
59,1517.94,0.79946,0.87083,1.21398,0.54641,0.4879,0.50726,0.3661,1.29739,1.68265,1.72985,0.000792032,0.000792032,0.000792032
60,1542.92,0.7675,0.8073,1.18997,0.45141,0.48346,0.4622,0.33107,1.29306,1.78634,1.70875,0.000786532,0.000786532,0.000786532
61,1567.88,0.77454,0.85293,1.20066,0.5958,0.48866,0.5197,0.38934,1.23423,1.70123,1.64298,0.000781033,0.000781033,0.000781033
62,1593.13,0.75479,0.79935,1.16934,0.54814,0.5461,0.50801,0.35937,1.27892,1.67243,1.74416,0.000775534,0.000775534,0.000775534
63,1618,0.77431,0.81042,1.18835,0.61932,0.47793,0.5208,0.37241,1.32365,1.74002,1.76154,0.000770034,0.000770034,0.000770034
64,1643.05,0.75876,0.84015,1.19502,0.57524,0.49706,0.52277,0.39272,1.22475,1.59766,1.676,0.000764535,0.000764535,0.000764535
65,1668.27,0.75845,0.81977,1.18247,0.54563,0.5662,0.55361,0.39117,1.26954,1.7107,1.68352,0.000759035,0.000759035,0.000759035
66,1693.06,0.75144,0.79431,1.18075,0.57948,0.50766,0.5171,0.37449,1.3119,1.7389,1.73668,0.000753536,0.000753536,0.000753536
67,1717.87,0.77919,0.81036,1.19062,0.55074,0.53377,0.5062,0.37458,1.31107,1.70302,1.75473,0.000748036,0.000748036,0.000748036
68,1742.4,0.74574,0.77427,1.17822,0.59699,0.44699,0.52384,0.3702,1.35543,1.80385,1.8366,0.000742537,0.000742537,0.000742537
69,1766.87,0.74412,0.77434,1.17273,0.59574,0.50757,0.53567,0.38664,1.29978,1.73336,1.7438,0.000737037,0.000737037,0.000737037
70,1791.34,0.73165,0.7912,1.15618,0.68664,0.46495,0.52582,0.38196,1.31122,1.69722,1.73143,0.000731538,0.000731538,0.000731538
71,1815.75,0.7206,0.74526,1.1597,0.57115,0.51403,0.50107,0.36774,1.33875,1.84192,1.80144,0.000726038,0.000726038,0.000726038
72,1840.18,0.71901,0.7266,1.15794,0.65653,0.44181,0.52046,0.3784,1.29259,1.7243,1.68638,0.000720539,0.000720539,0.000720539
73,1864.57,0.71272,0.72767,1.15486,0.5785,0.4852,0.49533,0.35911,1.3367,1.90054,1.72202,0.00071504,0.00071504,0.00071504
74,1888.92,0.7283,0.72423,1.14917,0.58882,0.51196,0.50151,0.36325,1.34354,1.8693,1.80351,0.00070954,0.00070954,0.00070954
75,1913.32,0.7048,0.73781,1.14787,0.56225,0.51447,0.53642,0.39745,1.30445,1.79135,1.74791,0.000704041,0.000704041,0.000704041
76,1938.09,0.69359,0.72236,1.14227,0.62801,0.52678,0.54499,0.39294,1.26481,1.75016,1.69458,0.000698541,0.000698541,0.000698541
77,1962.44,0.69115,0.68742,1.13038,0.53058,0.50295,0.51571,0.36686,1.30178,1.80097,1.70123,0.000693042,0.000693042,0.000693042
78,1986.91,0.68632,0.69428,1.12504,0.56781,0.53024,0.53117,0.38793,1.27087,1.62653,1.74732,0.000687542,0.000687542,0.000687542
79,2011.25,0.67737,0.66754,1.11631,0.5595,0.49518,0.49642,0.37513,1.28214,1.72209,1.73323,0.000682043,0.000682043,0.000682043
80,2035.63,0.66855,0.68542,1.11438,0.58518,0.49309,0.52359,0.37561,1.31316,1.7155,1.74588,0.000676543,0.000676543,0.000676543
81,2060.05,0.68008,0.69895,1.13279,0.52091,0.58032,0.52352,0.37592,1.32975,1.85138,1.7449,0.000671044,0.000671044,0.000671044
82,2084.44,0.68245,0.6984,1.12259,0.59667,0.46276,0.50956,0.36269,1.28682,1.73561,1.70249,0.000665545,0.000665545,0.000665545
83,2108.85,0.67679,0.70297,1.12682,0.59671,0.46336,0.50233,0.35193,1.27625,1.67828,1.71194,0.000660045,0.000660045,0.000660045
