epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,508.95,0.83586,0.89428,1.19626,0.59247,0.51256,0.4815,0.34707,1.21127,1.6573,1.57055,0.000885523,0.000885523,0.000885523
43,518.5,0.83881,0.88926,1.20853,0.70996,0.54743,0.59882,0.44184,1.20232,1.50145,1.55748,0.000880023,0.000880023,0.000880023
44,528.092,0.85567,0.88598,1.20951,0.58127,0.4963,0.52468,0.39234,1.27321,1.69868,1.67106,0.000874524,0.000874524,0.000874524
45,537.588,0.8438,0.89894,1.20567,0.52078,0.43761,0.4546,0.33252,1.27883,1.76902,1.64628,0.000869024,0.000869024,0.000869024
46,547.36,0.8325,0.89044,1.18722,0.62754,0.52436,0.57821,0.41795,1.21336,1.52454,1.58085,0.000863525,0.000863525,0.000863525
47,556.954,0.82344,0.87666,1.19272,0.52915,0.58061,0.55294,0.40758,1.18979,1.51431,1.5522,0.000858025,0.000858025,0.000858025
48,566.521,0.80957,0.86152,1.1994,0.57336,0.5023,0.49585,0.38099,1.21283,1.64014,1.55886,0.000852526,0.000852526,0.000852526
49,576.158,0.78625,0.84299,1.15965,0.64496,0.57176,0.56107,0.41025,1.2229,1.57255,1.60974,0.000847026,0.000847026,0.000847026
50,585.729,0.80584,0.84586,1.18147,0.61313,0.45009,0.48573,0.34929,1.23727,1.74558,1.64485,0.000841527,0.000841527,0.000841527
51,595.295,0.81035,0.84193,1.1919,0.64466,0.44947,0.51199,0.37723,1.21915,1.7698,1.59478,0.000836027,0.000836027,0.000836027
52,604.866,0.79461,0.8291,1.16219,0.62648,0.48452,0.53806,0.38488,1.23994,1.67521,1.60155,0.000830528,0.000830528,0.000830528
53,614.47,0.81047,0.82855,1.17951,0.56211,0.49361,0.50758,0.34626,1.20839,1.86634,1.58648,0.000825029,0.000825029,0.000825029
54,623.951,0.80555,0.81792,1.16248,0.631,0.48042,0.53093,0.37876,1.22704,1.72135,1.60202,0.000819529,0.000819529,0.000819529
55,633.412,0.77662,0.79186,1.15498,0.64402,0.51478,0.53236,0.38949,1.23928,1.77049,1.60644,0.00081403,0.00081403,0.00081403
56,643.029,0.79682,0.81255,1.16559,0.56643,0.56919,0.54167,0.38313,1.2774,1.55608,1.6535,0.00080853,0.00080853,0.00080853
57,652.528,0.78753,0.77396,1.15229,0.60319,0.53843,0.57307,0.41549,1.25766,1.53197,1.65342,0.000803031,0.000803031,0.000803031
58,662.053,0.76668,0.74429,1.14581,0.63965,0.50821,0.53233,0.37424,1.3454,1.81708,1.73047,0.000797531,0.000797531,0.000797531
59,671.576,0.74975,0.74426,1.13445,0.70257,0.50105,0.57449,0.42134,1.21743,1.52429,1.57952,0.000792032,0.000792032,0.000792032
60,681.14,0.73877,0.71972,1.13089,0.59778,0.55716,0.56359,0.40822,1.2245,1.67536,1.60753,0.000786532,0.000786532,0.000786532
61,690.628,0.73731,0.74851,1.13398,0.49922,0.54698,0.51127,0.3713,1.24627,1.76818,1.61529,0.000781033,0.000781033,0.000781033
62,700.227,0.72147,0.72062,1.11565,0.55457,0.47038,0.45396,0.32482,1.24896,1.93421,1.65013,0.000775534,0.000775534,0.000775534
63,709.761,0.76254,0.74101,1.14222,0.56376,0.49806,0.53381,0.39617,1.28966,1.76273,1.66954,0.000770034,0.000770034,0.000770034
64,719.44,0.72806,0.72563,1.13561,0.61204,0.53803,0.54887,0.39285,1.21383,1.65258,1.62656,0.000764535,0.000764535,0.000764535
65,728.948,0.75319,0.7404,1.13715,0.63039,0.52105,0.54579,0.38748,1.22881,1.82111,1.62332,0.000759035,0.000759035,0.000759035
66,738.402,0.74595,0.73193,1.14036,0.65523,0.47289,0.53161,0.38377,1.25147,1.73258,1.66379,0.000753536,0.000753536,0.000753536
67,747.791,0.73567,0.73178,1.12402,0.62544,0.57715,0.54514,0.39535,1.21671,1.70159,1.61617,0.000748036,0.000748036,0.000748036
68,757.188,0.7118,0.69032,1.11831,0.51174,0.55854,0.51851,0.37507,1.2874,1.85542,1.70982,0.000742537,0.000742537,0.000742537
69,766.847,0.72501,0.71053,1.11821,0.56654,0.50104,0.50289,0.3565,1.32172,1.80009,1.74173,0.000737037,0.000737037,0.000737037
70,776.482,0.71689,0.7096,1.11404,0.65569,0.46861,0.49286,0.37018,1.19979,1.80219,1.54593,0.000731538,0.000731538,0.000731538
71,786.125,0.7048,0.67862,1.10794,0.57276,0.48067,0.49381,0.36422,1.20761,1.78642,1.5773,0.000726038,0.000726038,0.000726038
72,795.64,0.69845,0.66213,1.10532,0.65399,0.53192,0.52786,0.39279,1.1975,1.75749,1.58141,0.000720539,0.000720539,0.000720539
73,804.997,0.694,0.64957,1.11006,0.60403,0.56282,0.57139,0.42818,1.25741,1.64723,1.66811,0.00071504,0.00071504,0.00071504
74,814.46,0.71383,0.69411,1.11002,0.73547,0.507,0.56383,0.40083,1.26551,1.5158,1.68702,0.00070954,0.00070954,0.00070954
75,823.859,0.68448,0.66807,1.10572,0.54324,0.58679,0.57698,0.42086,1.20879,1.63608,1.60406,0.000704041,0.000704041,0.000704041
76,833.268,0.6836,0.67804,1.10563,0.53591,0.58292,0.53754,0.39284,1.27123,1.76124,1.71224,0.000698541,0.000698541,0.000698541
77,842.583,0.69058,0.65526,1.09429,0.59954,0.47056,0.50545,0.351,1.24575,1.72655,1.63914,0.000693042,0.000693042,0.000693042
78,851.912,0.67226,0.64064,1.0853,0.64068,0.43992,0.51944,0.38466,1.27667,1.75823,1.7049,0.000687542,0.000687542,0.000687542
79,861.298,0.682,0.63871,1.08694,0.64221,0.48641,0.53006,0.38583,1.29001,1.77661,1.65804,0.000682043,0.000682043,0.000682043
80,870.675,0.67764,0.62889,1.08462,0.71398,0.4727,0.55234,0.40607,1.25788,1.69374,1.66181,0.000676543,0.000676543,0.000676543
81,880.042,0.67382,0.64428,1.09603,0.65917,0.51556,0.5634,0.39872,1.2558,1.74745,1.70891,0.000671044,0.000671044,0.000671044
82,889.475,0.68235,0.62433,1.08445,0.61802,0.53552,0.56269,0.42016,1.19253,1.63668,1.5951,0.000665545,0.000665545,0.000665545
83,898.811,0.65302,0.61748,1.0806,0.56975,0.56858,0.54957,0.39419,1.19136,1.77294,1.60018,0.000660045,0.000660045,0.000660045
84,908.224,0.66769,0.6215,1.07865,0.61859,0.47742,0.50985,0.38201,1.19491,1.86937,1.59168,0.000654546,0.000654546,0.000654546
85,917.534,0.65382,0.61091,1.07481,0.61335,0.51496,0.5266,0.39289,1.23977,1.74252,1.62025,0.000649046,0.000649046,0.000649046
86,926.945,0.64148,0.60999,1.06737,0.62612,0.53833,0.55534,0.41659,1.20352,1.48091,1.62927,0.000643547,0.000643547,0.000643547
87,936.363,0.63961,0.59179,1.06913,0.62967,0.5214,0.54994,0.42372,1.19985,1.80229,1.62565,0.000638047,0.000638047,0.000638047
88,945.798,0.64104,0.6185,1.07477,0.58781,0.57297,0.55386,0.42312,1.25554,1.69851,1.67302,0.000632548,0.000632548,0.000632548
89,955.169,0.66664,0.61132,1.07888,0.56067,0.49709,0.53616,0.40349,1.23101,1.76139,1.6335,0.000627048,0.000627048,0.000627048
90,964.678,0.63742,0.59315,1.06147,0.62519,0.51201,0.53844,0.40207,1.20665,1.79016,1.61387,0.000621549,0.000621549,0.000621549
91,974.371,0.6389,0.58736,1.06659,0.60774,0.47652,0.54374,0.40487,1.1864,1.82612,1.60727,0.000616049,0.000616049,0.000616049
92,983.737,0.63463,0.5943,1.05802,0.62206,0.4937,0.5339,0.40064,1.24512,1.88315,1.66467,0.00061055,0.00061055,0.00061055
93,993.252,0.63341,0.59177,1.06069,0.62888,0.49475,0.5226,0.37571,1.27099,1.9405,1.61638,0.000605051,0.000605051,0.000605051
94,1002.64,0.62843,0.57383,1.04688,0.69403,0.43733,0.51852,0.39008,1.19114,1.88153,1.62602,0.000599551,0.000599551,0.000599551
95,1011.99,0.61922,0.57352,1.06133,0.50923,0.50608,0.54526,0.40606,1.22016,1.70033,1.64014,0.000594052,0.000594052,0.000594052
96,1021.34,0.61748,0.5809,1.05719,0.6246,0.49804,0.50725,0.37632,1.24588,1.96966,1.64879,0.000588552,0.000588552,0.000588552
97,1030.72,0.62438,0.57411,1.05434,0.73504,0.47227,0.56718,0.42772,1.19789,1.6372,1.61874,0.000583053,0.000583053,0.000583053
98,1040.06,0.61078,0.55671,1.05009,0.60362,0.55667,0.58226,0.41937,1.20703,1.72881,1.6161,0.000577553,0.000577553,0.000577553
99,1049.41,0.61253,0.56083,1.05493,0.60227,0.55186,0.54041,0.37829,1.2316,1.76706,1.66046,0.000572054,0.000572054,0.000572054
100,1058.72,0.61515,0.58493,1.05586,0.51349,0.57098,0.54785,0.42062,1.1745,1.74959,1.60119,0.000566554,0.000566554,0.000566554
101,1068.12,0.59773,0.54731,1.04738,0.65294,0.52834,0.5869,0.44747,1.23664,1.68459,1.62596,0.000561055,0.000561055,0.000561055
102,1077.47,0.59368,0.54698,1.04412,0.61667,0.53717,0.5716,0.44314,1.17732,1.64833,1.58806,0.000555556,0.000555556,0.000555556
103,1086.84,0.58826,0.55008,1.03358,0.68549,0.52756,0.57291,0.44172,1.1934,1.58736,1.63603,0.000550056,0.000550056,0.000550056
104,1096.13,0.58502,0.53431,1.03949,0.64939,0.49951,0.54141,0.41979,1.17203,1.79097,1.60375,0.000544557,0.000544557,0.000544557
105,1105.47,0.58375,0.54996,1.03956,0.54724,0.58717,0.55484,0.41982,1.19822,1.73103,1.65285,0.000539057,0.000539057,0.000539057
106,1114.77,0.59505,0.52846,1.04021,0.60588,0.48868,0.53857,0.41327,1.19013,1.80701,1.62789,0.000533558,0.000533558,0.000533558
107,1124.15,0.57928,0.5303,1.0391,0.58415,0.54334,0.5316,0.39267,1.24909,1.82456,1.68815,0.000528058,0.000528058,0.000528058
108,1133.57,0.58173,0.53301,1.03733,0.72644,0.47969,0.56155,0.42002,1.20642,1.59253,1.65177,0.000522559,0.000522559,0.000522559
109,1142.86,0.57185,0.52207,1.02953,0.67087,0.52177,0.55471,0.41112,1.22894,1.69083,1.67673,0.000517059,0.000517059,0.000517059
110,1152.18,0.59152,0.52916,1.03799,0.64817,0.47032,0.52207,0.39076,1.24466,1.87807,1.64478,0.00051156,0.00051156,0.00051156
111,1161.61,0.56566,0.50632,1.01857,0.68807,0.50836,0.56859,0.42731,1.20192,1.73893,1.61715,0.00050606,0.00050606,0.00050606
112,1170.94,0.57254,0.5115,1.02819,0.56898,0.58319,0.56915,0.42356,1.24344,1.6953,1.67068,0.000500561,0.000500561,0.000500561
113,1180.33,0.58066,0.52386,1.03477,0.60113,0.51876,0.56212,0.41472,1.21757,1.72271,1.64475,0.000495062,0.000495062,0.000495062
114,1189.66,0.56198,0.50903,1.02628,0.69363,0.47838,0.58559,0.43038,1.23167,1.63401,1.6603,0.000489562,0.000489562,0.000489562
