epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.649,0.63153,0.6282,1.14229,0.97253,0.98464,0.99393,0.85553,0.56119,0.3782,1.15881,0.000665844,0.000665844,0.000665844
2,508.944,0.65711,0.42009,1.15246,0.94469,0.98169,0.99018,0.87025,0.52125,0.3787,1.11503,0.00128854,0.00128854,0.00128854
3,680.265,0.62176,0.37846,1.12657,0.98406,0.99186,0.99288,0.88543,0.47592,0.30736,1.06928,0.00186723,0.00186723,0.00186723
4,851.024,0.59163,0.35284,1.10789,0.99112,0.99506,0.99445,0.91814,0.42113,0.25046,1.02183,0.001802,0.001802,0.001802
5,1021.12,0.55448,0.32453,1.08711,0.98894,0.99516,0.99465,0.90737,0.44218,0.26966,1.04619,0.001736,0.001736,0.001736
6,1191.83,0.53494,0.30675,1.07196,0.99421,0.99382,0.99481,0.93095,0.39771,0.22474,0.99695,0.00167,0.00167,0.00167
7,1362.32,0.5204,0.29513,1.0641,0.99077,0.9946,0.9949,0.9256,0.40397,0.22725,1.00789,0.001604,0.001604,0.001604
8,1531.88,0.50576,0.2857,1.05841,0.99596,0.99753,0.99498,0.93323,0.38241,0.22081,0.98248,0.001538,0.001538,0.001538
9,1703.51,0.49583,0.27841,1.04888,0.99585,0.99691,0.99496,0.93301,0.38608,0.20916,0.98617,0.001472,0.001472,0.001472
10,1873.91,0.49506,0.27488,1.04977,0.99632,0.99567,0.99496,0.93229,0.38278,0.20067,0.98611,0.001406,0.001406,0.001406
11,2044.4,0.48375,0.26724,1.04247,0.99322,0.99587,0.99483,0.93763,0.36404,0.20124,0.9668,0.00134,0.00134,0.00134
12,2215.53,0.4768,0.2598,1.03738,0.99607,0.99629,0.99475,0.93617,0.37428,0.19306,0.97299,0.001274,0.001274,0.001274
13,2386.84,0.46812,0.2552,1.0339,0.99322,0.99938,0.99494,0.93637,0.38205,0.19695,0.98422,0.001208,0.001208,0.001208
14,2557.92,0.46201,0.25145,1.02932,0.99727,0.99753,0.99475,0.94444,0.3505,0.18111,0.95834,0.001142,0.001142,0.001142
15,2729.32,0.45542,0.2439,1.02676,0.99507,0.99802,0.99499,0.94515,0.3526,0.18805,0.95408,0.001076,0.001076,0.001076
16,2900.53,0.45328,0.24237,1.02473,0.99629,0.99691,0.9949,0.94622,0.35393,0.17973,0.9595,0.00101,0.00101,0.00101
17,3073.2,0.44658,0.23883,1.02129,0.99633,0.99753,0.99497,0.94462,0.35533,0.18265,0.95849,0.000944,0.000944,0.000944
18,3244.34,0.44475,0.23584,1.01962,0.99691,0.99789,0.99499,0.95176,0.34383,0.17043,0.9459,0.000878,0.000878,0.000878
19,3416.48,0.43777,0.23322,1.01586,0.99692,0.99868,0.99499,0.94777,0.34313,0.1757,0.94701,0.000812,0.000812,0.000812
20,3588.32,0.43495,0.22818,1.01156,0.99864,0.99876,0.99498,0.94933,0.33684,0.16592,0.9416,0.000746,0.000746,0.000746
21,3761.5,0.33807,0.18651,0.97275,0.99852,0.99876,0.99498,0.9472,0.34932,0.17071,0.95165,0.00068,0.00068,0.00068
22,3932.62,0.3325,0.182,0.97042,0.99748,0.99815,0.99498,0.94931,0.34147,0.1711,0.94773,0.000614,0.000614,0.000614
23,4102.65,0.32106,0.17597,0.96033,0.99658,0.99815,0.99497,0.95336,0.3317,0.16248,0.9357,0.000548,0.000548,0.000548
24,4274.69,0.3143,0.16471,0.95635,0.99815,0.99869,0.99499,0.95309,0.33528,0.15683,0.93846,0.000482,0.000482,0.000482
25,4445.76,0.30907,0.15912,0.95033,0.99849,0.99876,0.99499,0.95342,0.33339,0.15988,0.94083,0.000416,0.000416,0.000416
26,4616.91,0.30258,0.15285,0.94962,0.99738,0.99876,0.99498,0.95583,0.3254,0.14971,0.93077,0.00035,0.00035,0.00035
27,4789.29,0.29678,0.14862,0.94523,0.99804,0.99876,0.995,0.95788,0.32499,0.14801,0.93448,0.000284,0.000284,0.000284
28,4961.62,0.29327,0.14458,0.93872,0.99806,0.99876,0.995,0.95792,0.32011,0.145,0.92976,0.000218,0.000218,0.000218
29,5132.94,0.28758,0.13931,0.93721,0.9981,0.99876,0.995,0.95807,0.32222,0.14159,0.92913,0.000152,0.000152,0.000152
30,5304.1,0.28404,0.13469,0.93611,0.99876,0.99825,0.995,0.95786,0.31939,0.13877,0.92735,8.6e-05,8.6e-05,8.6e-05
