epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,609.564,0.84164,0.89554,1.20218,0.65349,0.49069,0.54321,0.39478,1.30289,1.64233,1.6874,0.000885523,0.000885523,0.000885523
43,622.422,0.81996,0.85454,1.2077,0.63766,0.49449,0.51143,0.37715,1.29059,1.76158,1.6526,0.000880023,0.000880023,0.000880023
44,635.151,0.83214,0.82069,1.21059,0.58211,0.58376,0.55302,0.4042,1.24968,1.66592,1.62245,0.000874524,0.000874524,0.000874524
45,647.977,0.82201,0.83218,1.2003,0.60177,0.51748,0.49895,0.3566,1.31939,1.69432,1.71262,0.000869024,0.000869024,0.000869024
46,660.615,0.80267,0.83058,1.18035,0.56573,0.51378,0.503,0.365,1.25762,1.68105,1.60503,0.000863525,0.000863525,0.000863525
47,673.248,0.81579,0.82308,1.19547,0.52422,0.48473,0.49435,0.34884,1.32914,1.69612,1.72121,0.000858025,0.000858025,0.000858025
48,685.849,0.79882,0.80661,1.19887,0.62851,0.50263,0.52984,0.39134,1.25181,1.64556,1.65704,0.000852526,0.000852526,0.000852526
49,698.475,0.78094,0.77772,1.16053,0.54621,0.56873,0.53185,0.36696,1.31565,1.67532,1.74065,0.000847026,0.000847026,0.000847026
50,711.089,0.78989,0.78208,1.17104,0.58278,0.50031,0.50116,0.34038,1.31486,1.71688,1.70807,0.000841527,0.000841527,0.000841527
51,723.735,0.79902,0.78691,1.19229,0.58743,0.46192,0.51482,0.36495,1.3214,1.69602,1.70196,0.000836027,0.000836027,0.000836027
52,736.36,0.77359,0.77925,1.15354,0.53948,0.54067,0.50406,0.36218,1.30691,1.8202,1.69759,0.000830528,0.000830528,0.000830528
53,748.985,0.75675,0.75412,1.16003,0.6061,0.50668,0.52988,0.39684,1.24463,1.73734,1.6499,0.000825029,0.000825029,0.000825029
54,761.65,0.76422,0.74917,1.14457,0.57105,0.45976,0.47858,0.35579,1.2805,1.8529,1.6696,0.000819529,0.000819529,0.000819529
55,774.285,0.74604,0.7544,1.14997,0.58802,0.48452,0.5236,0.37839,1.22711,1.69426,1.62071,0.00081403,0.00081403,0.00081403
56,786.852,0.74381,0.73709,1.14451,0.53427,0.579,0.54151,0.40304,1.269,1.75679,1.69666,0.00080853,0.00080853,0.00080853
57,799.434,0.73726,0.73249,1.1282,0.60099,0.47873,0.46363,0.31769,1.38767,1.94397,1.82433,0.000803031,0.000803031,0.000803031
58,812.107,0.72957,0.71789,1.13284,0.61091,0.52954,0.53434,0.38628,1.28019,1.72159,1.70697,0.000797531,0.000797531,0.000797531
59,824.706,0.71781,0.6882,1.12897,0.62982,0.55092,0.54668,0.38581,1.27966,1.73612,1.6466,0.000792032,0.000792032,0.000792032
60,837.376,0.70657,0.67343,1.11955,0.56569,0.54352,0.5531,0.40398,1.24906,1.66812,1.62648,0.000786532,0.000786532,0.000786532
61,850.074,0.72123,0.69182,1.13385,0.56589,0.47709,0.51653,0.37053,1.30221,1.84586,1.68291,0.000781033,0.000781033,0.000781033
62,862.754,0.68788,0.6733,1.10303,0.63093,0.51444,0.52708,0.37497,1.36341,1.79056,1.73861,0.000775534,0.000775534,0.000775534
63,875.445,0.70863,0.68336,1.12132,0.62386,0.47479,0.52537,0.38976,1.31708,1.74865,1.73186,0.000770034,0.000770034,0.000770034
64,888.115,0.69517,0.68709,1.12876,0.5501,0.52402,0.50462,0.37347,1.27587,1.71608,1.67787,0.000764535,0.000764535,0.000764535
65,900.769,0.70519,0.68317,1.11888,0.60053,0.47841,0.50691,0.38516,1.26007,1.97652,1.68297,0.000759035,0.000759035,0.000759035
66,913.473,0.68366,0.65853,1.10886,0.62504,0.49391,0.54899,0.39559,1.27859,1.80582,1.75251,0.000753536,0.000753536,0.000753536
67,926.181,0.70311,0.6537,1.11437,0.64184,0.4764,0.51477,0.37317,1.26898,1.6776,1.67692,0.000748036,0.000748036,0.000748036
68,938.873,0.68404,0.66217,1.10703,0.60001,0.53753,0.52509,0.37576,1.28467,1.71424,1.72704,0.000742537,0.000742537,0.000742537
69,951.549,0.6829,0.66435,1.10227,0.6644,0.56,0.56397,0.4141,1.26341,1.63463,1.67549,0.000737037,0.000737037,0.000737037
70,964.413,0.66362,0.63518,1.08586,0.61415,0.54866,0.5418,0.41416,1.22795,1.85848,1.59242,0.000731538,0.000731538,0.000731538
71,977.101,0.65859,0.62325,1.09325,0.59682,0.49451,0.50549,0.37531,1.31553,1.87677,1.71477,0.000726038,0.000726038,0.000726038
72,989.799,0.65381,0.60959,1.08562,0.57082,0.51161,0.5027,0.37587,1.27306,1.88847,1.66374,0.000720539,0.000720539,0.000720539
73,1002.51,0.64289,0.60062,1.08718,0.67478,0.49705,0.53965,0.38147,1.37244,1.81264,1.76544,0.00071504,0.00071504,0.00071504
74,1015.18,0.67152,0.62362,1.0941,0.57086,0.48855,0.47991,0.35704,1.31109,1.90312,1.77392,0.00070954,0.00070954,0.00070954
75,1027.93,0.65747,0.61468,1.09834,0.72029,0.476,0.53949,0.39781,1.29098,1.83429,1.70117,0.000704041,0.000704041,0.000704041
76,1040.66,0.6276,0.60758,1.08005,0.69246,0.4439,0.54175,0.39511,1.25751,1.81938,1.70373,0.000698541,0.000698541,0.000698541
77,1053.41,0.63011,0.59198,1.06733,0.66512,0.48712,0.52436,0.39402,1.24743,1.84146,1.70362,0.000693042,0.000693042,0.000693042
78,1066.11,0.62726,0.5905,1.06759,0.61561,0.51746,0.53468,0.39848,1.26826,1.7034,1.70078,0.000687542,0.000687542,0.000687542
79,1078.79,0.62755,0.57279,1.0623,0.58236,0.53583,0.55275,0.42299,1.24251,1.79566,1.6593,0.000682043,0.000682043,0.000682043
80,1091.66,0.62813,0.59778,1.06503,0.68624,0.47997,0.56181,0.42472,1.21974,1.67088,1.6661,0.000676543,0.000676543,0.000676543
81,1104.54,0.63164,0.58592,1.07686,0.56968,0.48332,0.47293,0.35088,1.29633,2.01738,1.72175,0.000671044,0.000671044,0.000671044
82,1117.25,0.62808,0.57533,1.06973,0.60889,0.4838,0.54302,0.39991,1.26223,1.78469,1.67449,0.000665545,0.000665545,0.000665545
83,1129.9,0.61426,0.57351,1.06591,0.58085,0.52613,0.55092,0.40519,1.27741,1.6652,1.66413,0.000660045,0.000660045,0.000660045
84,1142.54,0.61127,0.5488,1.05882,0.59707,0.53139,0.53203,0.38825,1.28793,1.76383,1.74505,0.000654546,0.000654546,0.000654546
